game_id,season,week,game_date,posteam,defteam,qtr,yardline_100,ydstogo,game_seconds_remaining,score_differential,wp,kick_distance,inside_twenty,blocked,touchback,return_yards,punter_player_id,punter_player_name,epa,play_id
2016_01_MIA_SEA,2016,1,2016-09-11,SEA,MIA,1.0,56.0,4.0,3491.0,0.0,0.4966851,37.0,true,false,false,0.0,00-0023742,J.Ryan,-0.28469846,179.0
2016_01_MIA_SEA,2016,1,2016-09-11,MIA,SEA,1.0,76.0,5.0,3387.0,0.0,0.4235022,43.0,false,false,false,0.0,00-0031716,M.Darr,-0.020744815,289.0
2016_01_MIA_SEA,2016,1,2016-09-11,SEA,MIA,2.0,74.0,1.0,2660.0,3.0,0.5736775,42.0,false,false,false,7.0,00-0023742,J.Ryan,-0.27170196,866.0
2016_01_MIA_SEA,2016,1,2016-09-11,MIA,SEA,2.0,69.0,8.0,2560.0,-3.0,0.33936742,46.0,false,false,false,5.0,00-0031716,M.Darr,0.46346533,985.0
2016_01_MIA_SEA,2016,1,2016-09-11,SEA,MIA,2.0,59.0,8.0,2152.0,0.0,0.4865774,48.0,false,false,false,16.0,00-0023742,J.Ryan,-0.44241443,1421.0
2016_01_MIA_SEA,2016,1,2016-09-11,MIA,SEA,2.0,57.0,5.0,2070.0,0.0,0.44868705,57.0,false,false,true,0.0,00-0031716,M.Darr,-0.33296648,1535.0
2016_01_MIA_SEA,2016,1,2016-09-11,SEA,MIA,2.0,82.0,12.0,2018.0,0.0,0.43877292,49.0,false,false,false,5.0,00-0023742,J.Ryan,-0.0054663415,1651.0
2016_01_MIA_SEA,2016,1,2016-09-11,MIA,SEA,2.0,61.0,9.0,1920.0,0.0,0.45666394,45.0,true,false,false,0.0,00-0031716,M.Darr,0.36818194,1787.0
2016_01_MIA_SEA,2016,1,2016-09-11,MIA,SEA,3.0,59.0,10.0,1676.0,-3.0,0.3173736,53.0,true,false,false,13.0,00-0031716,M.Darr,0.2093525,2272.0
2016_01_MIA_SEA,2016,1,2016-09-11,SEA,MIA,3.0,82.0,22.0,1473.0,3.0,0.59760565,50.0,false,false,false,4.0,00-0023742,J.Ryan,1.1961145,2426.0
2016_01_MIA_SEA,2016,1,2016-09-11,MIA,SEA,3.0,72.0,8.0,1390.0,-3.0,0.2789565,45.0,false,false,false,22.0,00-0031716,M.Darr,-1.2044497,2529.0
2016_01_MIA_SEA,2016,1,2016-09-11,MIA,SEA,3.0,49.0,7.0,1112.0,-3.0,0.3304705,38.0,true,false,false,0.0,00-0031716,M.Darr,0.2895838,2766.0
2016_01_MIA_SEA,2016,1,2016-09-11,SEA,MIA,4.0,41.0,6.0,437.0,3.0,0.75206846,27.0,true,false,false,0.0,00-0023742,J.Ryan,-0.6887714,3379.0
2016_01_MIN_TEN,2016,1,2016-09-11,TEN,MIN,1.0,36.0,11.0,3335.0,0.0,0.5345999,36.0,false,false,true,0.0,00-0025825,B.Kern,-1.7482125,265.0
2016_01_MIN_TEN,2016,1,2016-09-11,MIN,TEN,1.0,74.0,4.0,3262.0,0.0,0.42197576,51.0,false,false,false,14.0,00-0030405,J.Locke,-0.5367599,354.0
2016_01_MIN_TEN,2016,1,2016-09-11,TEN,MIN,2.0,45.0,2.0,2281.0,3.0,0.6267348,35.0,true,false,false,0.0,00-0025825,B.Kern,-0.8072033,1112.0
2016_01_MIN_TEN,2016,1,2016-09-11,MIN,TEN,2.0,63.0,1.0,2103.0,-3.0,0.38656723,36.0,false,false,false,0.0,00-0030405,J.Locke,-0.8366104,1316.0
2016_01_MIN_TEN,2016,1,2016-09-11,TEN,MIN,3.0,71.0,1.0,1599.0,7.0,0.756434,44.0,false,false,false,0.0,00-0025825,B.Kern,-0.5880539,2222.0
2016_01_MIN_TEN,2016,1,2016-09-11,TEN,MIN,3.0,76.0,11.0,935.0,-2.0,0.3683546,52.0,false,false,false,9.0,00-0025825,B.Kern,0.5257103,2822.0
2016_01_MIN_TEN,2016,1,2016-09-11,MIN,TEN,4.0,41.0,5.0,501.0,12.0,0.94560397,26.0,true,false,false,0.0,00-0030405,J.Locke,-0.8645448,3329.0
2016_01_MIN_TEN,2016,1,2016-09-11,TEN,MIN,4.0,95.0,20.0,442.0,-12.0,0.02189049,64.0,false,false,false,12.0,00-0025825,B.Kern,0.24472539,3420.0
2016_01_NE_ARI,2016,1,2016-09-11,ARI,NE,1.0,56.0,6.0,3419.0,0.0,0.49289498,38.0,false,false,false,8.0,00-0028952,D.Butler,-0.69510686,198.0
2016_01_NE_ARI,2016,1,2016-09-11,ARI,NE,1.0,47.0,7.0,3078.0,-7.0,0.29453138,39.0,true,false,false,0.0,00-0028952,D.Butler,0.16552779,599.0
2016_01_NE_ARI,2016,1,2016-09-11,ARI,NE,2.0,39.0,10.0,2550.0,-10.0,0.20932336,23.0,true,false,false,0.0,00-0028952,D.Butler,-0.97605515,1166.0
2016_01_NE_ARI,2016,1,2016-09-11,NE,ARI,2.0,74.0,10.0,1920.0,3.0,0.56954736,44.0,false,false,false,8.0,00-0029984,R.Allen,-0.6131755,1787.0
2016_01_NE_ARI,2016,1,2016-09-11,ARI,NE,2.0,62.0,10.0,1894.0,-3.0,0.37095258,41.0,false,false,false,10.0,00-0028952,D.Butler,-0.92672694,1880.0
2016_01_NE_ARI,2016,1,2016-09-11,NE,ARI,2.0,77.0,18.0,1822.0,3.0,0.57922953,45.0,false,false,false,0.0,00-0029984,R.Allen,-0.09849966,2084.0
2016_01_NE_ARI,2016,1,2016-09-11,ARI,NE,3.0,67.0,12.0,1328.0,-10.0,0.1585599,39.0,false,false,false,0.0,00-0028952,D.Butler,-0.043861393,2544.0
2016_01_NYG_DAL,2016,1,2016-09-11,NYG,DAL,1.0,60.0,7.0,2957.0,-3.0,0.37849146,60.0,false,false,true,0.0,00-0030142,B.Wing,0.7538554,583.0
2016_01_NYG_DAL,2016,1,2016-09-11,NYG,DAL,3.0,86.0,15.0,1428.0,-3.0,0.26115915,55.0,false,false,false,9.0,00-0030142,B.Wing,0.37892425,2351.0
2016_01_NYG_DAL,2016,1,2016-09-11,DAL,NYG,3.0,59.0,9.0,1361.0,3.0,0.66649324,47.0,true,false,false,0.0,00-0028664,C.Jones,0.42152616,2449.0
2016_01_NYG_DAL,2016,1,2016-09-11,NYG,DAL,3.0,68.0,3.0,1152.0,-3.0,0.31223565,50.0,false,false,false,7.0,00-0030142,B.Wing,-0.19627969,2613.0
2016_01_NYG_DAL,2016,1,2016-09-11,NYG,DAL,4.0,55.0,5.0,726.0,-6.0,0.16814682,55.0,false,false,true,0.0,00-0030142,B.Wing,-0.6069905,3046.0
2016_01_NYG_DAL,2016,1,2016-09-11,DAL,NYG,4.0,85.0,15.0,625.0,6.0,0.7288721,56.0,false,false,false,17.0,00-0028664,C.Jones,-0.36785805,3172.0
2016_01_NYG_DAL,2016,1,2016-09-11,DAL,NYG,4.0,67.0,13.0,246.0,-1.0,0.40026546,44.0,false,false,false,0.0,00-0028664,C.Jones,0.16648407,3641.0
2016_01_NYG_DAL,2016,1,2016-09-11,NYG,DAL,4.0,37.0,1.0,72.0,1.0,0.8252725,37.0,false,false,true,0.0,00-0030142,B.Wing,-1.1085669,3895.0
2016_01_OAK_NO,2016,1,2016-09-11,LV,NO,2.0,62.0,9.0,2351.0,0.0,0.45011666,62.0,false,false,true,0.0,00-0029123,M.King,-0.5140387,1396.0
2016_01_OAK_NO,2016,1,2016-09-11,LV,NO,2.0,67.0,1.0,1972.0,-7.0,0.2581888,41.0,false,false,false,6.0,00-0029123,M.King,-1.315133,1752.0
2016_01_OAK_NO,2016,1,2016-09-11,NO,LV,2.0,52.0,9.0,1880.0,7.0,0.7497052,44.0,true,false,false,10.0,00-0027114,T.Morstead,-0.9475132,2020.0
2016_01_OAK_NO,2016,1,2016-09-11,LV,NO,3.0,68.0,3.0,1721.0,-7.0,0.2140336,53.0,false,false,false,5.0,00-0029123,M.King,0.76538444,2393.0
2016_01_OAK_NO,2016,1,2016-09-11,NO,LV,3.0,85.0,5.0,1597.0,7.0,0.7351881,51.0,false,false,false,6.0,00-0027114,T.Morstead,0.54052854,2534.0
2016_01_OAK_NO,2016,1,2016-09-11,LV,NO,3.0,45.0,10.0,1392.0,-7.0,0.20852154,43.0,true,false,false,0.0,00-0029123,M.King,0.12322335,2742.0
2016_01_PIT_WAS,2016,1,2016-09-12,WAS,PIT,1.0,40.0,1.0,3385.0,0.0,0.5362316,27.0,true,false,false,0.0,00-0030140,T.Way,-1.5126091,265.0
2016_01_PIT_WAS,2016,1,2016-09-12,PIT,WAS,1.0,79.0,2.0,3270.0,0.0,0.43439603,46.0,false,false,false,0.0,00-0031502,J.Berry,0.035826102,357.0
2016_01_PIT_WAS,2016,1,2016-09-12,PIT,WAS,3.0,67.0,2.0,931.0,15.0,0.9674054,61.0,false,false,false,17.0,00-0031502,J.Berry,0.051966876,2821.0
2016_01_SD_KC,2016,1,2016-09-11,KC,LAC,1.0,45.0,5.0,3067.0,-4.0,0.36356616,45.0,false,false,true,0.0,00-0023534,D.Colquitt,-0.89000064,664.0
2016_01_SD_KC,2016,1,2016-09-11,KC,LAC,2.0,93.0,28.0,2495.0,-11.0,0.14246628,38.0,false,false,false,7.0,00-0023534,D.Colquitt,-0.6754574,1135.0
