season,week,game_id,team,sack_rate_roll6,qb_hit_rate_roll6,tfl_rate_roll6
2023,16,2023_16_ARI_CHI,ARI,0.04124935995903738,0.1266480731534495,0.0
2023,17,2023_17_ARI_PHI,ARI,0.04182539682539682,0.11109507776174443,0.0
2023,18,2023_18_SEA_ARI,ARI,0.02182539682539682,0.09165063331729999,0.0
2024,1,2024_01_ARI_BUF,ARI,,,
2024,2,2024_02_LA_ARI,ARI,,,
2024,3,2024_03_DET_ARI,ARI,,,
2024,4,2024_04_WAS_ARI,ARI,,,
2024,5,2024_05_ARI_SF,ARI,,,
2024,6,2024_06_ARI_GB,ARI,,,
2024,7,2024_07_LAC_ARI,ARI,0.06171734234234235,0.11852386660854403,0.0
2024,8,2024_08_ARI_MIA,ARI,0.06028877091377091,0.1263016443863218,0.0
2024,9,2024_09_CHI_ARI,ARI,0.03852060852060852,0.09224715720683463,0.0
2024,10,2024_10_NYJ_ARI,ARI,0.04646387093195603,0.11082871749052257,0.0
2024,12,2024_12_ARI_SEA,ARI,0.05962176566879814,0.12738219796590458,0.0
2024,13,2024_13_ARI_MIN,ARI,0.07376090480793727,0.1326374532211598,0.0
2024,14,2024_14_SEA_ARI,ARI,0.09690905295608543,0.1592578235915302,0.0
2024,15,2024_15_NE_ARI,ARI,0.08500429105132352,0.14259115692486352,0.0
2024,16,2024_16_ARI_CAR,ARI,0.09406412011115257,0.14310397743768405,0.0
2024,17,2024_17_ARI_LA,ARI,0.09002890367681655,0.1284304631310076,0.0
2024,18,2024_18_SF_ARI,ARI,0.07687100893997446,0.11691730523627075,0.0
2016,1,2016_01_TB_ATL,ATL,,,
2016,2,2016_02_ATL_OAK,ATL,,,
2016,3,2016_03_ATL_NO,ATL,,,
2016,4,2016_04_CAR_ATL,ATL,,,
2016,5,2016_05_ATL_DEN,ATL,,,
2016,6,2016_06_ATL_SEA,ATL,,,
2016,7,2016_07_SD_ATL,ATL,0.04168511150623111,0.1274529144972718,0.0
2016,8,2016_08_GB_ATL,ATL,0.05529055368310185,0.11661107776257794,0.0
2016,9,2016_09_ATL_TB,ATL,0.06386248722852426,0.12562486355260974,0.0
2016,10,2016_10_ATL_PHI,ATL,0.06444605398856161,0.1365959186413119,0.0
2016,12,2016_12_ARI_ATL,ATL,0.06988465047978969,0.11870118179920663,0.0
2016,13,2016_13_KC_ATL,ATL,0.0524388510217951,0.1214958972463611,0.0
2016,14,2016_14_ATL_LA,ATL,0.05446314251977082,0.105976329095214,0.0
2016,15,2016_15_SF_ATL,ATL,0.05222133670653643,0.1082954385571806,0.0
2016,16,2016_16_ATL_CAR,ATL,0.04955002427912644,0.10155908547936411,0.0
2016,17,2016_17_NO_ATL,ATL,0.05042148397411555,0.09349808330071487,0.0
2017,1,2017_01_ATL_CHI,ATL,,,
2017,2,2017_02_GB_ATL,ATL,,,
2017,3,2017_03_ATL_DET,ATL,,,
2017,4,2017_04_BUF_ATL,ATL,,,
2017,6,2017_06_MIA_ATL,ATL,,,
2017,7,2017_07_ATL_NE,ATL,,,
2017,8,2017_08_ATL_NYJ,ATL,0.06399479159916031,0.11610677379131518,0.0
2017,9,2017_09_ATL_CAR,ATL,0.06273216533653404,0.10600576369030508,0.0
2017,10,2017_10_DAL_ATL,ATL,0.06013957274394146,0.10440082541870015,0.0
2017,11,2017_11_ATL_SEA,ATL,0.0881350934606268,0.1225979138845456,0.0
2017,12,2017_12_TB_ATL,ATL,0.07703426089818459,0.13647395458759834,0.0
2017,13,2017_13_MIN_ATL,ATL,0.08073796460188831,0.15600257411621785,0.0
2017,14,2017_14_NO_ATL,ATL,0.08040194309651195,0.15566655261084153,0.0
2017,15,2017_15_ATL_TB,ATL,0.07552206321663209,0.14140228834657728,0.0
2017,16,2017_16_ATL_NO,ATL,0.07786440555897443,0.14392481086909978,0.0
2017,17,2017_17_CAR_ATL,ATL,0.04852381269751042,0.11594537953213668,0.0
2018,1,2018_01_ATL_PHI,ATL,,,
2018,2,2018_02_CAR_ATL,ATL,,,
2018,3,2018_03_NO_ATL,ATL,,,
2018,4,2018_04_CIN_ATL,ATL,,,
2018,5,2018_05_ATL_PIT,ATL,,,
2018,6,2018_06_TB_ATL,ATL,,,
2018,7,2018_07_NYG_ATL,ATL,0.03812140961077131,0.09891611614282193,0.0
2018,9,2018_09_ATL_WAS,ATL,0.044616276570754544,0.11190585006278841,0.0
2018,10,2018_10_ATL_CLE,ATL,0.04772815962184732,0.107636057039196,0.0
2018,11,2018_11_DAL_ATL,ATL,0.04439482628851399,0.10096939037252933,0.0
2018,12,2018_12_ATL_NO,ATL,0.04308763674603033,0.11556634026359687,0.0
2018,13,2018_13_BAL_ATL,ATL,0.05697652563491922,0.11341116784980378,0.0
2018,14,2018_14_ATL_GB,ATL,0.06130552996392355,0.11016441460305053,0.0
2018,15,2018_15_ARI_ATL,ATL,0.06432017251344982,0.10230481081321419,0.0
2018,16,2018_16_ATL_CAR,ATL,0.0812478738265332,0.1201817290223583,0.0
2018,17,2018_17_ATL_TB,ATL,0.0868975913406575,0.14278059907885546,0.0
2019,1,2019_01_ATL_MIN,ATL,,,
2019,2,2019_02_PHI_ATL,ATL,,,
2019,3,2019_03_ATL_IND,ATL,,,
2019,4,2019_04_TEN_ATL,ATL,,,
2019,5,2019_05_ATL_HOU,ATL,,,
2019,6,2019_06_ATL_ARI,ATL,,,
2019,7,2019_07_LA_ATL,ATL,0.029152864679180473,0.10964003507863157,0.0
2019,8,2019_08_SEA_ATL,ATL,0.014001349527665317,0.09249489951244337,0.0
2019,10,2019_10_ATL_NO,ATL,0.019537480063795853,0.09074664776419163,0.0
2019,11,2019_11_ATL_CAR,ATL,0.034382284382284384,0.10525407016635087,0.0
2019,12,2019_12_TB_ATL,ATL,0.04953379953379953,0.11389604547499284,0.0
2019,13,2019_13_NO_ATL,ATL,0.04953379953379953,0.11479792137686877,0.0
2019,14,2019_14_CAR_ATL,ATL,0.04953379953379953,0.12017426546289027,0.0
2019,15,2019_15_ATL_SF,ATL,0.06764974156278504,0.13237868956662788,0.0
2019,16,2019_16_JAX_ATL,ATL,0.057260131173174654,0.11636137354931185,0.0
2019,17,2019_17_ATL_TB,ATL,0.05191825083129431,0.1028286100165483,0.0
2020,1,2020_01_SEA_ATL,ATL,,,
2020,2,2020_02_ATL_DAL,ATL,,,
2020,3,2020_03_CHI_ATL,ATL,,,
2020,4,2020_04_ATL_GB,ATL,,,
2020,5,2020_05_CAR_ATL,ATL,,,
2020,6,2020_06_ATL_MIN,ATL,,,
2020,7,2020_07_DET_ATL,ATL,0.03183953263416628,0.13819330881250386,0.0
2020,8,2020_08_ATL_CAR,ATL,0.027453567721885574,0.12503541407566177,0.0
2020,9,2020_09_DEN_ATL,ATL,0.040786901055218906,0.14503541407566176,0.0
2020,11,2020_11_ATL_NO,ATL,0.03801542209326376,0.15127124174006085,0.0
2020,12,2020_12_LV_ATL,ATL,0.05234423053971926,0.17842056300702916,0.0
2020,13,2020_13_NO_ATL,ATL,0.0712836244791132,0.18262931721578338,0.0
2020,14,2020_14_ATL_LAC,ATL,0.07555712875261747,0.1655353001217663,0.0
2020,15,2020_15_TB_ATL,ATL,0.07048890263175978,0.15033062175919318,0.0
2020,16,2020_16_ATL_KC,ATL,0.06423890263175978,0.14130284398141543,0.0
2020,17,2020_17_ATL_TB,ATL,0.060837542087542086,0.12580775705775707,0.0
2021,1,2021_01_PHI_ATL,ATL,,,
2021,2,2021_02_ATL_TB,ATL,,,
2021,3,2021_03_ATL_NYG,ATL,,,
2021,4,2021_04_WAS_ATL,ATL,,,
2021,5,2021_05_NYJ_ATL,ATL,,,
2021,7,2021_07_ATL_MIA,ATL,,,
2021,8,2021_08_CAR_ATL,ATL,0.04480990639527225,0.1124750722311698,0.0
2021,9,2021_09_ATL_NO,ATL,0.04018027676564262,0.12321581297191053,0.0
2021,10,2021_10_ATL_DAL,ATL,0.0310634676488335,0.1160933058494034,0.0
2021,11,2021_11_NE_ATL,ATL,0.022054458639824498,0.1030945928506904,0.0
2021,12,2021_12_ATL_JAX,ATL,0.03453393318826456,0.1070354795501978,0.0
2021,13,2021_13_TB_ATL,ATL,0.028798002452333823,0.1059532284679467,0.0
2021,14,2021_14_ATL_CAR,ATL,0.024732961801927317,0.09702608037293636,0.0
2021,15,2021_15_ATL_SF,ATL,0.029362591431556947,0.09554459889145488,0.0
2021,16,2021_16_DET_ATL,ATL,0.02565888772785324,0.09785941370626967,0.0
2021,17,2021_17_ATL_BUF,ATL,0.02565888772785324,0.09785941370626967,0.0
2021,18,2021_18_NO_ATL,ATL,0.014369889369889371,0.0927280508162861,0.0
2022,1,2022_01_NO_ATL,ATL,,,
2022,2,2022_02_ATL_LA,ATL,,,
2022,3,2022_03_ATL_SEA,ATL,,,
2022,4,2022_04_CLE_ATL,ATL,,,
2022,5,2022_05_ATL_TB,ATL,,,
2022,6,2022_06_SF_ATL,ATL,,,
2022,7,2022_07_ATL_CIN,ATL,0.03347452803974543,0.11828566731375911,0.0
2022,8,2022_08_CAR_ATL,ATL,0.027491622056839447,0.1105933596214514,0.0
2022,9,2022_09_LAC_ATL,ATL,0.027491622056839447,0.1105933596214514,0.0
2022,10,2022_10_ATL_CAR,ATL,0.020245245245245246,0.10022935557696204,0.0
2022,11,2022_11_CHI_ATL,ATL,0.025419537184243068,0.08742979130680954,0.0
2022,12,2022_12_ATL_WAS,ATL,0.05208620385090973,0.10818450828794161,0.0
2022,13,2022_13_PIT_ATL,ATL,0.05208620385090973,0.106417099309504,0.0
