season,week,game_id,team,distance_bucket,fg_make_rate_roll6
2024,14,2024_14_SEA_ARI,ARI,31-40,1.0
2024,15,2024_15_NE_ARI,ARI,41-50,
2024,15,2024_15_NE_ARI,ARI,31-40,0.8333333333333334
2024,16,2024_16_ARI_CAR,ARI,0-30,1.0
2024,16,2024_16_ARI_CAR,ARI,41-50,0.5833333333333334
2024,16,2024_16_ARI_CAR,ARI,56+,
2024,17,2024_17_ARI_LA,ARI,0-30,1.0
2024,18,2024_18_SF_ARI,ARI,51-55,
2024,18,2024_18_SF_ARI,ARI,41-50,0.5833333333333334
2016,1,2016_01_TB_ATL,ATL,31-40,
2016,1,2016_01_TB_ATL,ATL,0-30,
2016,2,2016_02_ATL_OAK,ATL,0-30,
2016,3,2016_03_ATL_NO,ATL,0-30,
2016,4,2016_04_CAR_ATL,ATL,0-30,
2016,4,2016_04_CAR_ATL,ATL,51-55,
2016,5,2016_05_ATL_DEN,ATL,41-50,
2016,5,2016_05_ATL_DEN,ATL,0-30,
2016,5,2016_05_ATL_DEN,ATL,31-40,
2016,6,2016_06_ATL_SEA,ATL,31-40,
2016,7,2016_07_SD_ATL,ATL,0-30,
2016,7,2016_07_SD_ATL,ATL,56+,
2016,7,2016_07_SD_ATL,ATL,31-40,
2016,7,2016_07_SD_ATL,ATL,41-50,
2016,8,2016_08_GB_ATL,ATL,31-40,
2016,9,2016_09_ATL_TB,ATL,41-50,
2016,9,2016_09_ATL_TB,ATL,0-30,1.0
2016,10,2016_10_ATL_PHI,ATL,31-40,
2016,10,2016_10_ATL_PHI,ATL,41-50,
2016,10,2016_10_ATL_PHI,ATL,51-55,
2016,12,2016_12_ARI_ATL,ATL,41-50,
2016,13,2016_13_KC_ATL,ATL,56+,
2016,13,2016_13_KC_ATL,ATL,0-30,1.0
2016,15,2016_15_SF_ATL,ATL,41-50,
2016,16,2016_16_ATL_CAR,ATL,51-55,
2016,16,2016_16_ATL_CAR,ATL,0-30,1.0
2016,16,2016_16_ATL_CAR,ATL,41-50,1.0
2016,17,2016_17_NO_ATL,ATL,0-30,0.9166666666666666
2017,1,2017_01_ATL_CHI,ATL,31-40,
2017,1,2017_01_ATL_CHI,ATL,0-30,
2017,1,2017_01_ATL_CHI,ATL,41-50,
2017,2,2017_02_GB_ATL,ATL,51-55,
2017,3,2017_03_ATL_DET,ATL,41-50,
2017,3,2017_03_ATL_DET,ATL,31-40,
2017,4,2017_04_BUF_ATL,ATL,0-30,
2017,6,2017_06_MIA_ATL,ATL,41-50,
2017,6,2017_06_MIA_ATL,ATL,56+,
2017,7,2017_07_ATL_NE,ATL,31-40,
2017,8,2017_08_ATL_NYJ,ATL,0-30,
2017,8,2017_08_ATL_NYJ,ATL,41-50,
2017,8,2017_08_ATL_NYJ,ATL,31-40,
2017,9,2017_09_ATL_CAR,ATL,51-55,
2017,10,2017_10_DAL_ATL,ATL,41-50,
2017,10,2017_10_DAL_ATL,ATL,0-30,
2017,11,2017_11_ATL_SEA,ATL,0-30,
2017,11,2017_11_ATL_SEA,ATL,41-50,
2017,12,2017_12_TB_ATL,ATL,41-50,1.0
2017,12,2017_12_TB_ATL,ATL,31-40,
2017,13,2017_13_MIN_ATL,ATL,41-50,1.0
2017,13,2017_13_MIN_ATL,ATL,31-40,
2017,14,2017_14_NO_ATL,ATL,0-30,
2017,14,2017_14_NO_ATL,ATL,51-55,
2017,15,2017_15_ATL_TB,ATL,56+,
2017,15,2017_15_ATL_TB,ATL,31-40,0.8333333333333334
2017,16,2017_16_ATL_NO,ATL,41-50,0.9166666666666666
2017,16,2017_16_ATL_NO,ATL,31-40,0.6666666666666666
2017,17,2017_17_CAR_ATL,ATL,56+,
2017,17,2017_17_CAR_ATL,ATL,31-40,0.6666666666666666
2017,17,2017_17_CAR_ATL,ATL,0-30,1.0
2017,17,2017_17_CAR_ATL,ATL,41-50,0.9166666666666666
2018,1,2018_01_ATL_PHI,ATL,0-30,
2018,1,2018_01_ATL_PHI,ATL,51-55,
2018,2,2018_02_CAR_ATL,ATL,41-50,
2018,4,2018_04_CIN_ATL,ATL,31-40,
2018,4,2018_04_CIN_ATL,ATL,51-55,
2018,4,2018_04_CIN_ATL,ATL,0-30,
2018,5,2018_05_ATL_PIT,ATL,41-50,
2018,6,2018_06_TB_ATL,ATL,56+,
2018,6,2018_06_TB_ATL,ATL,41-50,
2018,7,2018_07_NYG_ATL,ATL,31-40,
2018,7,2018_07_NYG_ATL,ATL,56+,
2018,7,2018_07_NYG_ATL,ATL,41-50,
2018,9,2018_09_ATL_WAS,ATL,0-30,
2018,10,2018_10_ATL_CLE,ATL,31-40,
2018,11,2018_11_DAL_ATL,ATL,0-30,
2018,11,2018_11_DAL_ATL,ATL,51-55,
2018,11,2018_11_DAL_ATL,ATL,41-50,
2018,12,2018_12_ATL_NO,ATL,31-40,
2018,13,2018_13_BAL_ATL,ATL,41-50,
2018,14,2018_14_ATL_GB,ATL,51-55,
2018,15,2018_15_ARI_ATL,ATL,0-30,
2018,15,2018_15_ARI_ATL,ATL,31-40,
2018,16,2018_16_ATL_CAR,ATL,31-40,
2018,17,2018_17_ATL_TB,ATL,31-40,1.0
2018,17,2018_17_ATL_TB,ATL,41-50,1.0
2019,2,2019_02_PHI_ATL,ATL,41-50,
2019,3,2019_03_ATL_IND,ATL,31-40,
2019,4,2019_04_TEN_ATL,ATL,41-50,
2019,4,2019_04_TEN_ATL,ATL,31-40,
2019,5,2019_05_ATL_HOU,ATL,31-40,
2019,6,2019_06_ATL_ARI,ATL,0-30,
2019,6,2019_06_ATL_ARI,ATL,41-50,
2019,7,2019_07_LA_ATL,ATL,41-50,
2019,7,2019_07_LA_ATL,ATL,51-55,
2019,8,2019_08_SEA_ATL,ATL,31-40,
2019,8,2019_08_SEA_ATL,ATL,41-50,
2019,8,2019_08_SEA_ATL,ATL,51-55,
2019,10,2019_10_ATL_NO,ATL,31-40,
2019,10,2019_10_ATL_NO,ATL,0-30,
2019,10,2019_10_ATL_NO,ATL,41-50,
2019,11,2019_11_ATL_CAR,ATL,0-30,
2019,11,2019_11_ATL_CAR,ATL,31-40,
2019,12,2019_12_TB_ATL,ATL,0-30,
2019,12,2019_12_TB_ATL,ATL,31-40,0.75
2019,13,2019_13_NO_ATL,ATL,41-50,0.75
2019,14,2019_14_CAR_ATL,ATL,41-50,0.7777777777777778
2019,14,2019_14_CAR_ATL,ATL,31-40,0.75
2019,14,2019_14_CAR_ATL,ATL,0-30,
2019,15,2019_15_ATL_SF,ATL,41-50,0.7777777777777778
2019,16,2019_16_JAX_ATL,ATL,41-50,0.7777777777777778
2019,16,2019_16_JAX_ATL,ATL,0-30,
2019,17,2019_17_ATL_TB,ATL,41-50,0.7777777777777778
2019,17,2019_17_ATL_TB,ATL,31-40,0.9166666666666666
2019,17,2019_17_ATL_TB,ATL,0-30,1.0
2020,1,2020_01_SEA_ATL,ATL,41-50,
2020,2,2020_02_ATL_DAL,ATL,31-40,
2020,2,2020_02_ATL_DAL,ATL,41-50,
2020,2,2020_02_ATL_DAL,ATL,0-30,
2020,3,2020_03_CHI_ATL,ATL,31-40,
2020,3,2020_03_CHI_ATL,ATL,0-30,
2020,3,2020_03_CHI_ATL,ATL,41-50,
2020,4,2020_04_ATL_GB,ATL,0-30,
2020,5,2020_05_CAR_ATL,ATL,41-50,
2020,5,2020_05_CAR_ATL,ATL,31-40,
2020,5,2020_05_CAR_ATL,ATL,51-55,
2020,6,2020_06_ATL_MIN,ATL,41-50,
2020,6,2020_06_ATL_MIN,ATL,0-30,
2020,8,2020_08_ATL_CAR,ATL,0-30,
2020,8,2020_08_ATL_CAR,ATL,31-40,
2020,9,2020_09_DEN_ATL,ATL,51-55,
2020,9,2020_09_DEN_ATL,ATL,31-40,
2020,11,2020_11_ATL_NO,ATL,0-30,
2020,11,2020_11_ATL_NO,ATL,51-55,
2020,12,2020_12_LV_ATL,ATL,31-40,
2020,12,2020_12_LV_ATL,ATL,0-30,1.0
2020,12,2020_12_LV_ATL,ATL,51-55,
2020,13,2020_13_NO_ATL,ATL,51-55,
2020,13,2020_13_NO_ATL,ATL,0-30,1.0
2020,14,2020_14_ATL_LAC,ATL,41-50,
2020,15,2020_15_TB_ATL,ATL,31-40,1.0
2020,15,2020_15_TB_ATL,ATL,51-55,
2020,16,2020_16_ATL_KC,ATL,31-40,1.0
2020,17,2020_17_ATL_TB,ATL,0-30,1.0
2021,1,2021_01_PHI_ATL,ATL,0-30,
2021,2,2021_02_ATL_TB,ATL,31-40,
2021,3,2021_03_ATL_NYG,ATL,31-40,
2021,4,2021_04_WAS_ATL,ATL,0-30,
2021,5,2021_05_NYJ_ATL,ATL,31-40,
2021,5,2021_05_NYJ_ATL,ATL,51-55,
2021,7,2021_07_ATL_MIA,ATL,31-40,
2021,8,2021_08_CAR_ATL,ATL,51-55,
