game_id,season,week,game_date,home_team,away_team,posteam,defteam,qtr,game_seconds_remaining,yardline_100,ydstogo,score_differential,roof,temp,wind,shotgun,no_huddle,qb_dropback,qb_scramble,epa,wp,wpa,decision,go_converted,go_failed,fg_made,kick_distance,punt_attempt,field_goal_attempt,yards_gained,touchback,drive,fixed_drive,order_sequence,play_id,ydstogo_bin,yardline_bin,go_conv_rate,go_attempts,go_stop_rate,go_faced,epa_per_drive_roll6,success_rate_roll6,points_per_drive_roll6
2022_15_KC_HOU,2022,15,2022-12-18,HOU,KC,HOU,KC,2.0,2053.0,50.0,1.0,7.0,closed,,,0.0,0.0,0.0,0.0,-0.45837536,0.7547576,-0.013392895,PUNT,false,false,,44.0,1.0,0.0,0.0,0.0,11.0,11.0,1538.0,1538.0,1,41-60,0.5,4,0.2857142857142857,7,0.8371658,0.4351176302432283,2.4767315
2022_15_MIA_BUF,2022,15,2022-12-17,BUF,MIA,BUF,MIA,3.0,1236.0,96.0,8.0,2.0,outdoors,29.0,4.0,0.0,0.0,0.0,0.0,-0.14638135,0.5835093,-0.048607856,PUNT,false,false,,46.0,1.0,0.0,0.0,0.0,13.0,13.0,2834.0,2834.0,6-10,81-100,,,,,0.67453057,0.4072293399010432,2.6126277
2021_17_ARI_DAL,2021,17,2022-01-02,DAL,ARI,ARI,DAL,3.0,1019.0,90.0,23.0,15.0,closed,,,0.0,0.0,0.0,0.0,-0.35811102,0.9324673,-0.004309237,GO,false,false,,,0.0,0.0,0.0,0.0,13.0,13.0,3308.0,3308.0,11+,81-100,0.0,2,1.0,1,-0.083619334,0.38286591462582137,1.8406177
2021_17_ARI_DAL,2021,17,2022-01-02,DAL,ARI,ARI,DAL,3.0,1014.0,95.0,28.0,15.0,closed,,,0.0,0.0,0.0,0.0,-0.80135864,0.92815804,-0.02070719,PUNT,false,false,,43.0,1.0,0.0,0.0,0.0,13.0,13.0,3335.0,3335.0,11+,81-100,0.0,2,1.0,1,-0.083619334,0.38286591462582137,1.8406177
2022_01_TB_DAL,2022,1,2022-09-11,DAL,TB,TB,DAL,2.0,1819.0,29.0,10.0,6.0,closed,,,0.0,0.0,0.0,0.0,0.7594511,0.7872048,0.011668593,FG,false,false,true,47.0,0.0,1.0,0.0,0.0,10.0,10.0,1879.0,1879.0,6-10,21-40,0.0,2,0.33333333333333337,3,,,
2022_06_WAS_CHI,2022,6,2022-10-13,CHI,WAS,CHI,WAS,2.0,1954.0,73.0,4.0,0.0,outdoors,,,0.0,0.0,0.0,0.0,-0.0268507,0.4563006,0.04584223,PUNT,false,false,,54.0,1.0,0.0,0.0,0.0,9.0,9.0,1500.0,1500.0,3-5,61-80,,,,,,,
2022_07_DET_DAL,2022,7,2022-10-23,DAL,DET,DAL,DET,3.0,1171.0,45.0,14.0,4.0,closed,,,0.0,0.0,0.0,0.0,-0.68087816,0.70143235,-0.017242253,PUNT,false,false,,45.0,1.0,0.0,0.0,1.0,14.0,14.0,2331.0,2331.0,11+,41-60,0.0,2,0.0,1,,,
2022_07_HOU_LV,2022,7,2022-10-23,LV,HOU,LV,HOU,2.0,2255.0,53.0,6.0,-4.0,dome,,,0.0,0.0,0.0,0.0,-0.86313564,0.33763394,0.019248933,PUNT,false,false,,43.0,1.0,0.0,0.0,0.0,5.0,5.0,1180.0,1180.0,6-10,41-60,0.0,1,1.0,2,,,
2022_08_TEN_HOU,2022,8,2022-10-30,HOU,TEN,HOU,TEN,1.0,2789.0,55.0,23.0,0.0,closed,,,0.0,0.0,0.0,0.0,0.4790209,0.56370914,0.028167427,PUNT,false,false,,48.0,1.0,0.0,0.0,0.0,5.0,5.0,707.0,707.0,11+,41-60,0.5,2,,,-0.24310571,0.41459455948092305,1.6977273
2022_08_TEN_HOU,2022,8,2022-10-30,HOU,TEN,HOU,TEN,3.0,1111.0,53.0,17.0,-11.0,closed,,,0.0,0.0,0.0,0.0,0.30908862,0.10974445,0.016677357,PUNT,false,false,,44.0,1.0,0.0,0.0,0.0,16.0,16.0,2305.0,2305.0,11+,41-60,0.5,2,,,-0.24310571,0.41459455948092305,1.6977273
2022_08_WAS_IND,2022,8,2022-10-30,IND,WAS,WAS,IND,3.0,986.0,93.0,18.0,1.0,closed,,,0.0,0.0,0.0,0.0,0.7064863,0.42301455,0.0006470978,PUNT,false,false,,65.0,1.0,0.0,0.0,0.0,16.0,16.0,2357.0,2357.0,11+,81-100,,,,,-0.69282836,0.34968957576280807,1.5050246
