game_id,season,week,game_date,posteam,defteam,home_team,away_team,fixed_drive,drive_epa,drive_success_rate,drive_posteam_score_start,drive_posteam_score_end,drive_start_yard_line,fixed_drive_result,drive_points
2021_16_JAX_NYJ,2021,16,2021-12-26,NYJ,JAX,NYJ,JAX,10.0,1.5259024,0.7,13.0,16.0,NYJ 28,Field goal,3.0
2021_16_IND_ARI,2021,16,2021-12-25,ARI,IND,ARI,IND,9.0,-0.036473885,0.0,6.0,6.0,unknown,End of half,0.0
2022_13_PIT_ATL,2022,13,2022-12-04,PIT,ATL,ATL,PIT,1.0,2.069312,0.5555555555555556,0.0,3.0,PIT 25,Field goal,3.0
2021_15_KC_LAC,2021,15,2021-12-16,KC,LAC,LAC,KC,18.0,5.7680445,0.6,21.0,28.0,KC 25,Touchdown,7.0
2021_18_WAS_NYG,2021,18,2022-01-09,WAS,NYG,NYG,WAS,11.0,1.848885,0.8,3.0,6.0,WAS 31,Field goal,3.0
2022_08_ARI_MIN,2022,8,2022-10-30,ARI,MIN,MIN,ARI,23.0,-2.3298135,0.3333333333333333,26.0,26.0,ARI 19,Turnover on downs,0.0
2022_02_SEA_SF,2022,2,2022-09-18,SEA,SF,SF,SEA,11.0,-0.82605827,0.5,0.0,0.0,SEA 16,End of half,0.0
2022_07_PIT_MIA,2022,7,2022-10-23,MIA,PIT,MIA,PIT,18.0,-1.070753,0.2,16.0,16.0,MIA 12,Punt,0.0
2021_15_TEN_PIT,2021,15,2021-12-19,PIT,TEN,PIT,TEN,21.0,-0.36859024,0.5,16.0,19.0,TEN 35,Field goal,3.0
2021_16_MIA_NO,2021,16,2021-12-27,MIA,NO,NO,MIA,4.0,1.6126943,0.5384615384615384,7.0,10.0,MIA 31,Field goal,3.0
2022_04_ARI_CAR,2022,4,2022-10-02,ARI,CAR,CAR,ARI,8.0,-4.1141906,0.25,0.0,0.0,ARI 18,Turnover on downs,0.0
2022_13_DEN_BAL,2022,13,2022-12-04,DEN,BAL,BAL,DEN,11.0,2.872538,0.3333333333333333,3.0,6.0,DEN 7,Field goal,3.0
2022_10_DEN_TEN,2022,10,2022-11-13,TEN,DEN,TEN,DEN,18.0,6.1294017,0.75,7.0,14.0,TEN 20,Touchdown,7.0
2022_01_NO_ATL,2022,1,2022-09-11,ATL,NO,ATL,NO,19.0,-0.03157504,0.4166666666666667,23.0,26.0,50,Field goal,3.0
2022_13_IND_DAL,2022,13,2022-12-04,DAL,IND,DAL,IND,25.0,3.050234,0.75,47.0,54.0,IND 29,Touchdown,7.0
2022_10_DAL_GB,2022,10,2022-11-13,GB,DAL,GB,DAL,4.0,-1.0843253,0.4444444444444444,0.0,0.0,GB 17,Punt,0.0
2022_01_KC_ARI,2022,1,2022-09-11,ARI,KC,ARI,KC,13.0,-2.643829,0.375,7.0,7.0,ARI 26,Punt,0.0
2022_01_LV_LAC,2022,1,2022-09-11,LAC,LV,LAC,LV,18.0,-5.236211,0.4285714285714285,24.0,24.0,LV 49,Missed field goal,0.0
2022_10_CLE_MIA,2022,10,2022-11-13,CLE,MIA,MIA,CLE,9.0,-0.30635834,0.25,7.0,7.0,CLE 17,End of half,0.0
