game_id,posteam,fixed_drive,order_sequence,ydstogo,yardline_100,game_seconds_remaining,field_goal_attempt,punt_attempt,kick_distance,epa,wp,season,week,game_date,home_team,away_team,defteam,decision,drive_epa,drive_success_rate,drive_posteam_score_start,drive_posteam_score_end,drive_start_yard_line,fixed_drive_result,drive_points,epa_per_drive_roll6,success_rate_roll6,points_per_drive_roll6,ydstogo_bin,yardline_bin,off_go_attempts,off_go_conv_rate,def_go_faced,def_go_stop_rate
2018_07_CLE_TB,CLE,26.0,4445.0,6.0,71.0,531.0,0.0,1.0,54.0,0.7736287,0.29880902,2018,7,2018-10-21,TB,CLE,TB,PUNT,-1.1548282,0.3333333333333333,23.0,23.0,CLE 25,Punt,0.0,-0.9295838,0.325343785061127,1.3654522,6-10,61-80,,,,
2018_13_CHI_NYG,NYG,27.0,5010.0,6.0,26.0,360.0,1.0,0.0,44.0,0.9860747,0.82400197,2018,13,2018-12-02,NYG,CHI,CHI,FG,1.8454418,0.5555555555555556,27.0,30.0,NYG 25,Field goal,3.0,0.33516002,0.3646051556468223,1.9007577,6-10,21-40,1.0,0.0,3.0,0.6666666666666667
2018_14_BAL_KC,KC,20.0,4743.0,15.0,17.0,286.0,1.0,0.0,35.0,0.34053397,0.12877393,2018,14,2018-12-09,KC,BAL,BAL,FG,1.8454422,0.4166666666666667,24.0,27.0,KC 25,Field goal,3.0,1.378859,0.4760838033786265,3.1700966,11+,0-20,,,,
2018_14_PHI_DAL,DAL,24.0,4788.0,1.0,19.0,241.0,0.0,0.0,43.406976744186046,1.4502963,0.7870956,2018,14,2018-12-09,DAL,PHI,PHI,GO,5.543848,0.6,23.0,29.0,DAL 25,Touchdown,6.0,-0.26718155,0.3660839635431139,2.012419,1,0-20,3.0,0.6666666666666666,2.0,0.5
2018_15_SEA_SF,SEA,24.0,4613.0,6.0,82.0,456.0,0.0,1.0,59.0,-0.4343306,0.23003785,2018,15,2018-12-16,SF,SEA,SF,PUNT,-2.8495483,0.1666666666666666,23.0,23.0,SEA 14,Punt,0.0,0.8805371,0.4153718967730405,2.424495,6-10,81-100,1.0,1.0,,
2019_01_DET_ARI,ARI,28.0,5194.0,10.0,10.0,441.0,1.0,0.0,28.0,0.14228244,0.9745161,2019,1,2019-09-08,ARI,DET,DET,FG,1.5438484,0.5,24.0,27.0,ARI 25,Field goal,3.0,,,,6-10,0-20,,,,
2019_05_BAL_PIT,BAL,22.0,4364.0,14.0,79.0,503.0,0.0,1.0,47.0,0.15674365,0.23612443,2019,5,2019-10-06,PIT,BAL,PIT,PUNT,-2.446485,0.2,23.0,23.0,BAL 25,Punt,0.0,,,,11+,61-80,,,1.0,1.0
2019_16_CIN_MIA,MIA,26.0,5024.0,2.0,54.0,470.0,0.0,1.0,49.0,-0.011907136,0.38735208,2019,16,2019-12-22,MIA,CIN,CIN,PUNT,-0.9737189,0.3333333333333333,35.0,35.0,MIA 25,Punt,0.0,-0.14528799,0.345347810806176,1.927159,2,41-60,1.0,1.0,,
2020_02_KC_LAC,LAC,19.0,4378.0,1.0,66.0,477.0,0.0,1.0,61.0,-1.1732094,0.4049251,2020,2,2020-09-20,LAC,KC,KC,PUNT,-2.730434,0.0,20.0,20.0,LAC 25,Punt,0.0,,,,1,61-80,1.0,0.0,1.0,1.0
2020_03_CIN_PHI,CIN,22.0,4446.0,4.0,57.0,480.0,0.0,1.0,46.0,0.018301336,0.35156143,2020,3,2020-09-27,PHI,CIN,PHI,PUNT,-1.1561984,0.5,23.0,23.0,CIN 25,Punt,0.0,,,,3-5,41-60,3.0,0.6666666666666666,,
2020_05_LAC_NO,NO,26.0,4718.0,6.0,18.0,311.0,1.0,0.0,36.0,0.36474422,0.9351521,2020,5,2020-10-12,NO,LAC,LAC,FG,1.4665984,0.6,27.0,30.0,NO 34,Field goal,3.0,,,,6-10,0-20,,,,
2020_07_SEA_ARI,SEA,22.0,4940.0,21.0,66.0,346.0,0.0,1.0,48.0,-0.24446909,0.28472152,2020,7,2020-10-25,ARI,SEA,ARI,PUNT,-2.289884,0.3333333333333333,34.0,34.0,SEA 25,Punt,0.0,,,,11+,61-80,,,1.0,0.0
2020_08_NO_CHI,NO,23.0,4581.0,2.0,45.0,419.0,0.0,0.0,43.406976744186046,-0.71086633,0.4137513,2020,8,2020-11-01,CHI,NO,CHI,GO,-1.6417224,0.2,23.0,23.0,NO 25,Punt,0.0,0.7379336,0.4292933497786977,2.925926,2,41-60,3.0,0.0,1.0,1.0
2020_08_NO_CHI,NO,23.0,4604.0,7.0,50.0,419.0,0.0,1.0,31.0,-0.5606788,0.34469032,2020,8,2020-11-01,CHI,NO,CHI,PUNT,-1.6417224,0.2,23.0,23.0,NO 25,Punt,0.0,0.7379336,0.4292933497786977,2.925926,6-10,41-60,,,2.0,1.0
2020_11_TEN_BAL,BAL,19.0,4080.0,8.0,73.0,485.0,0.0,1.0,46.0,-0.067021094,0.28519723,2020,11,2020-11-22,BAL,TEN,TEN,PUNT,-2.210981,0.0,24.0,24.0,BAL 25,Punt,0.0,0.11663804,0.4165001314622527,2.016946,6-10,61-80,1.0,0.0,2.0,0.5
2020_13_JAX_MIN,MIN,28.0,4746.0,14.0,80.0,496.0,0.0,1.0,52.0,0.3518441,0.29138586,2020,13,2020-12-06,MIN,JAX,JAX,PUNT,-2.4904473,0.3333333333333333,24.0,24.0,MIN 24,Punt,0.0,0.25171933,0.3702705653733792,2.5933373,11+,61-80,1.0,0.0,,
2020_15_LAC_LV,LV,18.0,3942.0,5.0,5.0,202.0,1.0,0.0,23.0,0.025368854,0.09563984,2020,15,2020-12-17,LV,LAC,LAC,FG,1.4665982,0.5333333333333333,24.0,27.0,LV 25,Field goal,3.0,0.22256802,0.3547722989994974,2.5201142,3-5,0-20,2.0,0.0,2.0,1.0
2021_01_MIN_CIN,CIN,22.0,4348.0,9.0,64.0,399.0,0.0,1.0,43.0,-0.024912043,0.28869373,2021,1,2021-09-12,CIN,MIN,MIN,PUNT,-1.7853258,0.2857142857142857,24.0,24.0,CIN 25,Punt,0.0,,,,6-10,61-80,1.0,0.0,,
2021_02_TEN_SEA,TEN,23.0,4511.0,15.0,66.0,505.0,0.0,1.0,53.0,0.7202985,0.29484248,2021,2,2021-09-19,SEA,TEN,SEA,PUNT,-1.2324742,0.3333333333333333,30.0,30.0,TEN 18,Punt,0.0,,,,11+,61-80,1.0,0.0,,
2021_03_MIA_LV,LV,22.0,4492.0,9.0,20.0,392.0,1.0,0.0,38.0,0.5013798,0.9144641,2021,3,2021-09-26,LV,MIA,MIA,FG,1.4665982,0.4444444444444444,25.0,28.0,LV 25,Field goal,3.0,,,,6-10,0-20,,,1.0,1.0
2021_04_TEN_NYJ,NYJ,25.0,4769.0,4.0,4.0,273.0,1.0,0.0,22.0,0.045538794,0.9891762,2021,4,2021-10-03,NYJ,TEN,TEN,FG,1.8454417,0.5714285714285714,24.0,27.0,NYJ 25,Field goal,3.0,,,,3-5,0-20,1.0,0.0,,
2021_06_DAL_NE,NE,23.0,4385.0,3.0,54.0,480.0,0.0,1.0,34.0,-0.7335461,0.37415528,2021,6,2021-10-17,NE,DAL,DAL,PUNT,-1.9076102,0.2857142857142857,29.0,29.0,NE 25,Punt,0.0,,,,3-5,41-60,1.0,0.0,3.0,0.3333333333333333
2021_06_SEA_PIT,SEA,24.0,4415.0,17.0,58.0,401.0,0.0,1.0,47.0,-0.17766024,0.29958254,2021,6,2021-10-17,PIT,SEA,PIT,PUNT,-1.6222274,0.4285714285714285,20.0,20.0,SEA 27,Punt,0.0,,,,11+,41-60,4.0,0.0,,
2021_08_TEN_IND,IND,21.0,4500.0,6.0,66.0,541.0,0.0,1.0,38.0,-0.6463744,0.37790632,2021,8,2021-10-31,IND,TEN,TEN,PUNT,-2.7149413,0.2,31.0,31.0,IND 30,Punt,0.0,0.6787951,0.4153334392251906,2.2900026,6-10,61-80,,,2.0,0.5
2021_10_DET_PIT,DET,23.0,4181.0,16.0,50.0,462.0,0.0,1.0,33.0,-0.32872903,0.3450084,2021,10,2021-11-14,PIT,DET,PIT,PUNT,-1.5694634,0.3333333333333333,16.0,16.0,DET 26,Punt,0.0,-0.89030534,0.3480064212294604,1.409596,11+,41-60,3.0,0.0,,
