season,team,ydstogo_bin,yardline_bin,go_attempts,go_conv_rate,side,go_faced,go_stop_rate
2016,MIN,6-10,61-80,1.0,0.0,offense,,
2016,NYJ,2,0-20,1.0,0.0,offense,,
2016,ARI,2,41-60,1.0,1.0,offense,,
2016,CHI,1,41-60,2.0,0.5,offense,,
2016,TB,6-10,61-80,1.0,0.0,offense,,
2017,DET,11+,81-100,1.0,0.0,offense,,
2017,NE,1,21-40,5.0,0.6,offense,,
2017,CLE,2,0-20,3.0,0.3333333333333333,offense,,
2017,CLE,6-10,21-40,5.0,0.2,offense,,
2017,GB,6-10,81-100,1.0,1.0,offense,,
2017,MIN,3-5,61-80,1.0,0.0,offense,,
2017,MIN,6-10,61-80,2.0,0.0,offense,,
2017,NO,6-10,0-20,1.0,0.0,offense,,
2017,NO,1,41-60,3.0,1.0,offense,,
2017,NE,11+,21-40,1.0,0.0,offense,,
2017,DET,1,0-20,2.0,0.0,offense,,
2017,ARI,2,0-20,1.0,0.0,offense,,
2017,DEN,2,61-80,1.0,0.0,offense,,
2017,KC,11+,21-40,1.0,0.0,offense,,
2017,MIA,6-10,21-40,6.0,0.1666666666666666,offense,,
2017,WAS,1,21-40,5.0,0.2,offense,,
2017,ATL,1,0-20,4.0,0.0,offense,,
2017,GB,1,21-40,4.0,0.75,offense,,
2017,CHI,1,41-60,1.0,1.0,offense,,
2017,HOU,1,21-40,2.0,0.5,offense,,
2017,HOU,1,0-20,2.0,0.5,offense,,
2017,SEA,2,0-20,2.0,0.0,offense,,
2017,TEN,1,41-60,3.0,0.6666666666666666,offense,,
2017,DET,3-5,0-20,1.0,0.0,offense,,
2017,GB,3-5,61-80,1.0,1.0,offense,,
2017,IND,1,0-20,1.0,0.0,offense,,
2017,JAX,6-10,41-60,3.0,1.0,offense,,
2017,NE,6-10,61-80,3.0,0.3333333333333333,offense,,
2017,DEN,11+,41-60,2.0,0.0,offense,,
2017,CAR,11+,21-40,1.0,0.0,offense,,
2017,TB,3-5,0-20,1.0,0.0,offense,,
2017,ATL,6-10,41-60,3.0,0.3333333333333333,offense,,
2017,CIN,2,61-80,1.0,0.0,offense,,
2017,CHI,1,61-80,2.0,0.0,offense,,
2017,LV,1,41-60,3.0,0.3333333333333333,offense,,
2017,ATL,11+,81-100,1.0,0.0,offense,,
2017,BAL,3-5,81-100,1.0,0.0,offense,,
2017,PHI,6-10,21-40,4.0,0.0,offense,,
2017,GB,2,41-60,2.0,0.5,offense,,
2017,KC,6-10,41-60,1.0,0.0,offense,,
2017,HOU,3-5,0-20,1.0,0.0,offense,,
2017,WAS,2,21-40,2.0,1.0,offense,,
2017,LV,6-10,21-40,2.0,1.0,offense,,
2017,WAS,11+,61-80,1.0,0.0,offense,,
2017,LAC,11+,0-20,1.0,0.0,offense,,
2017,LAC,1,21-40,1.0,0.0,offense,,
2017,MIN,1,0-20,1.0,0.0,offense,,
2017,NYG,1,21-40,2.0,0.5,offense,,
2017,CAR,3-5,61-80,1.0,0.0,offense,,
2017,HOU,6-10,41-60,1.0,0.0,offense,,
2017,GB,1,0-20,1.0,0.0,offense,,
2017,BUF,3-5,21-40,1.0,0.0,offense,,
2017,DEN,1,41-60,2.0,0.5,offense,,
2017,CIN,6-10,0-20,1.0,1.0,offense,,
2017,DAL,1,61-80,1.0,1.0,offense,,
2017,GB,11+,21-40,1.0,0.0,offense,,
2018,PHI,1,61-80,2.0,0.0,offense,,
2018,LAC,2,21-40,1.0,1.0,offense,,
2018,DET,3-5,0-20,3.0,0.3333333333333333,offense,,
2018,NYJ,3-5,0-20,2.0,0.5,offense,,
2018,CLE,3-5,0-20,1.0,0.0,offense,,
2018,DEN,3-5,21-40,4.0,0.0,offense,,
