game_id,posteam,fixed_drive,order_sequence,down,ydstogo,yardline_100,game_seconds_remaining,score_differential,field_goal_attempt,punt_attempt,kick_distance,epa,wp,season,week,game_date,home_team,away_team,defteam,first_ot_drive,decision
2020_05_LAC_NO,NO,26.0,4718.0,4.0,6.0,18.0,311.0,0.0,1.0,0.0,36.0,0.36474422,0.9351521,2020,5,2020-10-12,NO,LAC,LAC,26.0,FG
2020_07_SEA_ARI,SEA,22.0,4940.0,4.0,21.0,66.0,346.0,0.0,0.0,1.0,48.0,-0.24446909,0.28472152,2020,7,2020-10-25,ARI,SEA,ARI,22.0,PUNT
2020_08_NO_CHI,NO,23.0,4581.0,4.0,2.0,45.0,419.0,0.0,0.0,0.0,43.406976744186046,-0.71086633,0.4137513,2020,8,2020-11-01,CHI,NO,CHI,23.0,GO
2020_08_NO_CHI,NO,23.0,4604.0,4.0,7.0,50.0,419.0,0.0,0.0,1.0,31.0,-0.5606788,0.34469032,2020,8,2020-11-01,CHI,NO,CHI,23.0,PUNT
2020_11_TEN_BAL,BAL,19.0,4080.0,4.0,8.0,73.0,485.0,0.0,0.0,1.0,46.0,-0.067021094,0.28519723,2020,11,2020-11-22,BAL,TEN,TEN,19.0,PUNT
2020_13_JAX_MIN,MIN,28.0,4746.0,4.0,14.0,80.0,496.0,0.0,0.0,1.0,52.0,0.3518441,0.29138586,2020,13,2020-12-06,MIN,JAX,JAX,28.0,PUNT
2020_15_LAC_LV,LV,18.0,3942.0,4.0,5.0,5.0,202.0,0.0,1.0,0.0,23.0,0.025368854,0.09563984,2020,15,2020-12-17,LV,LAC,LAC,18.0,FG
2021_01_MIN_CIN,CIN,22.0,4348.0,4.0,9.0,64.0,399.0,0.0,0.0,1.0,43.0,-0.024912043,0.28869373,2021,1,2021-09-12,CIN,MIN,MIN,22.0,PUNT
2021_02_TEN_SEA,TEN,23.0,4511.0,4.0,15.0,66.0,505.0,0.0,0.0,1.0,53.0,0.7202985,0.29484248,2021,2,2021-09-19,SEA,TEN,SEA,23.0,PUNT
2021_03_MIA_LV,LV,22.0,4492.0,4.0,9.0,20.0,392.0,0.0,1.0,0.0,38.0,0.5013798,0.9144641,2021,3,2021-09-26,LV,MIA,MIA,22.0,FG
2021_04_TEN_NYJ,NYJ,25.0,4769.0,4.0,4.0,4.0,273.0,0.0,1.0,0.0,22.0,0.045538794,0.9891762,2021,4,2021-10-03,NYJ,TEN,TEN,25.0,FG
2021_06_DAL_NE,NE,23.0,4385.0,4.0,3.0,54.0,480.0,0.0,0.0,1.0,34.0,-0.7335461,0.37415528,2021,6,2021-10-17,NE,DAL,DAL,23.0,PUNT
2021_06_SEA_PIT,SEA,24.0,4415.0,4.0,17.0,58.0,401.0,0.0,0.0,1.0,47.0,-0.17766024,0.29958254,2021,6,2021-10-17,PIT,SEA,PIT,24.0,PUNT
2021_08_TEN_IND,IND,21.0,4500.0,4.0,6.0,66.0,541.0,0.0,0.0,1.0,38.0,-0.6463744,0.37790632,2021,8,2021-10-31,IND,TEN,TEN,21.0,PUNT
2021_10_DET_PIT,DET,23.0,4181.0,4.0,16.0,50.0,462.0,0.0,0.0,1.0,33.0,-0.32872903,0.3450084,2021,10,2021-11-14,PIT,DET,PIT,23.0,PUNT
2021_12_LV_DAL,DAL,28.0,4986.0,4.0,4.0,87.0,530.0,0.0,0.0,1.0,59.0,0.75028676,0.26305237,2021,12,2021-11-25,DAL,LV,LV,28.0,PUNT
2021_14_BUF_TB,BUF,26.0,4710.0,4.0,4.0,69.0,538.0,0.0,0.0,1.0,63.0,0.87743336,0.30981565,2021,14,2021-12-12,TB,BUF,TB,26.0,PUNT
2021_14_SF_CIN,CIN,23.0,4315.0,4.0,7.0,23.0,379.0,0.0,1.0,0.0,41.0,0.70911175,0.87250304,2021,14,2021-12-12,CIN,SF,SF,23.0,FG
2021_18_LAC_LV,LV,22.0,4829.0,4.0,3.0,22.0,434.0,0.0,1.0,0.0,40.0,0.71059835,0.8853904,2021,18,2022-01-09,LV,LAC,LAC,22.0,FG
2021_18_PIT_BAL,BAL,28.0,4205.0,4.0,9.0,53.0,391.0,0.0,0.0,1.0,36.0,-0.1524334,0.33330148,2021,18,2022-01-09,BAL,PIT,PIT,28.0,PUNT
2021_18_SF_LA,SF,21.0,3948.0,4.0,6.0,6.0,168.0,0.0,1.0,0.0,24.0,0.03618605,0.99174243,2021,18,2022-01-09,LA,SF,LA,21.0,FG
2022_01_IND_HOU,HOU,24.0,4327.0,4.0,26.0,76.0,518.0,0.0,0.0,1.0,52.0,-0.1534155,0.29176688,2022,1,2022-09-11,HOU,IND,IND,24.0,PUNT
2022_01_PIT_CIN,PIT,25.0,4221.0,4.0,3.0,68.0,511.0,0.0,0.0,1.0,48.0,-0.3446748,0.3093362,2022,1,2022-09-11,CIN,PIT,CIN,25.0,PUNT
2022_02_ARI_LV,ARI,17.0,4366.0,4.0,1.0,37.0,336.0,0.0,0.0,0.0,43.406976744186046,-3.8228126,0.40813726,2022,2,2022-09-18,LV,ARI,LV,17.0,GO
2022_04_NE_GB,GB,23.0,3704.0,4.0,7.0,72.0,506.0,0.0,0.0,1.0,43.0,-1.5625845,0.31271005,2022,4,2022-10-02,GB,NE,NE,23.0,PUNT
2022_05_IND_DEN,IND,26.0,4574.0,4.0,3.0,30.0,354.0,0.0,1.0,0.0,48.0,1.3755212,0.7612116,2022,5,2022-10-06,DEN,IND,DEN,26.0,FG
2022_06_DEN_LAC,DEN,19.0,4106.0,4.0,1.0,66.0,512.0,0.0,0.0,1.0,58.0,-0.9049878,0.3848221,2022,6,2022-10-17,LAC,DEN,LAC,19.0,PUNT
2022_09_TEN_KC,KC,25.0,4450.0,4.0,1.0,13.0,313.0,0.0,0.0,0.0,43.406976744186046,1.1607538,0.83548903,2022,9,2022-11-06,KC,TEN,TEN,25.0,GO
2022_09_TEN_KC,KC,25.0,4547.0,4.0,10.0,11.0,247.0,0.0,1.0,0.0,28.0,0.1443994,0.96842957,2022,9,2022-11-06,KC,TEN,TEN,25.0,FG
2022_10_DAL_GB,DAL,24.0,4308.0,4.0,3.0,35.0,381.0,0.0,0.0,0.0,43.406976744186046,-2.9863663,0.555026,2022,10,2022-11-13,GB,DAL,GB,24.0,GO
2022_10_MIN_BUF,MIN,25.0,4940.0,4.0,15.0,15.0,225.0,0.0,1.0,0.0,33.0,0.2619823,0.94418555,2022,10,2022-11-13,BUF,MIN,BUF,25.0,FG
2022_12_LV_SEA,LV,25.0,4331.0,4.0,2.0,38.0,356.0,0.0,1.0,0.0,56.0,-2.6294615,0.5911183,2022,12,2022-11-27,SEA,LV,SEA,25.0,FG
2022_12_TB_CLE,TB,23.0,4089.0,4.0,14.0,57.0,455.0,0.0,0.0,1.0,42.0,-0.41251472,0.3176642,2022,12,2022-11-27,CLE,TB,CLE,23.0,PUNT
2022_13_WAS_NYG,NYG,23.0,4000.0,4.0,12.0,64.0,461.0,0.0,0.0,1.0,31.0,-0.873146,0.3171421,2022,13,2022-12-04,NYG,WAS,WAS,23.0,PUNT
2022_15_DAL_JAX,JAX,24.0,4268.0,4.0,3.0,68.0,536.0,0.0,0.0,1.0,48.0,-0.08495906,0.33576086,2022,15,2022-12-18,JAX,DAL,DAL,24.0,PUNT
2022_15_IND_MIN,MIN,33.0,5079.0,4.0,10.0,39.0,298.0,0.0,0.0,1.0,26.0,-0.98148346,0.42819646,2022,15,2022-12-17,MIN,IND,IND,33.0,PUNT
2022_15_KC_HOU,KC,22.0,4070.0,4.0,16.0,55.0,341.0,0.0,0.0,1.0,42.0,-0.11255831,0.33550048,2022,15,2022-12-18,HOU,KC,HOU,22.0,PUNT
2022_16_TB_ARI,ARI,27.0,4571.0,4.0,9.0,64.0,470.0,0.0,0.0,1.0,52.0,-0.09535801,0.37028316,2022,16,2022-12-25,ARI,TB,TB,27.0,PUNT
2022_18_LA_SEA,SEA,23.0,3807.0,4.0,7.0,72.0,566.0,0.0,0.0,1.0,52.0,0.04218726,0.30948898,2022,18,2023-01-08,SEA,LA,LA,23.0,PUNT
2023_01_BUF_NYJ,BUF,22.0,4010.0,4.0,12.0,77.0,561.0,0.0,0.0,1.0,42.0,-5.435014,0.25525525,2023,1,2023-09-11,NYJ,BUF,NYJ,22.0,PUNT
2023_02_LAC_TEN,LAC,21.0,4070.0,4.0,10.0,75.0,583.0,0.0,0.0,1.0,47.0,-0.55097914,0.28046525,2023,2,2023-09-17,TEN,LAC,TEN,21.0,PUNT
2023_03_IND_BAL,IND,27.0,4638.0,4.0,6.0,71.0,515.0,0.0,0.0,1.0,50.0,-1.6392533,0.2929967,2023,3,2023-09-24,BAL,IND,BAL,27.0,PUNT
2023_04_WAS_PHI,WAS,19.0,4618.0,4.0,5.0,70.0,515.0,0.0,0.0,1.0,29.0,-1.0462575,0.23209691,2023,4,2023-10-01,PHI,WAS,PHI,19.0,PUNT
2023_08_NYJ_NYG,NYG,33.0,4656.0,4.0,21.0,86.0,501.0,0.0,0.0,1.0,47.0,0.11432418,0.21181098,2023,8,2023-10-29,NYG,NYJ,NYJ,33.0,PUNT
2023_12_BUF_PHI,BUF,27.0,5071.0,4.0,6.0,22.0,356.0,0.0,1.0,0.0,40.0,0.6227044,0.88444465,2023,12,2023-11-26,PHI,BUF,PHI,27.0,FG
2023_13_CIN_JAX,JAX,22.0,4409.0,4.0,21.0,59.0,312.0,0.0,0.0,1.0,42.0,-0.3649242,0.28188172,2023,13,2023-12-04,JAX,CIN,CIN,22.0,PUNT
2023_13_IND_TEN,TEN,27.0,5021.0,4.0,11.0,27.0,264.0,0.0,1.0,0.0,46.0,1.0209733,0.8044764,2023,13,2023-12-03,TEN,IND,IND,27.0,FG
2023_14_LA_BAL,BAL,25.0,4807.0,4.0,6.0,71.0,547.0,0.0,0.0,1.0,51.0,-0.12484272,0.3250196,2023,14,2023-12-10,BAL,LA,LA,25.0,PUNT
2023_15_HOU_TEN,TEN,21.0,4255.0,4.0,20.0,62.0,394.0,0.0,0.0,1.0,35.0,-0.39220452,0.294106,2023,15,2023-12-17,TEN,HOU,HOU,21.0,PUNT
2023_15_MIN_CIN,CIN,20.0,4191.0,4.0,18.0,83.0,511.0,0.0,0.0,1.0,56.0,0.08428372,0.22805129,2023,15,2023-12-16,CIN,MIN,MIN,20.0,PUNT
2024_02_SEA_NE,NE,22.0,4291.0,4.0,1.0,61.0,500.0,0.0,0.0,1.0,45.0,-0.53197247,0.39385694,2024,2,2024-09-15,NE,SEA,SEA,22.0,PUNT
2024_09_LA_SEA,SEA,28.0,5113.0,4.0,1.0,16.0,445.0,0.0,0.0,0.0,43.406976744186046,-3.7972393,0.836647,2024,9,2024-11-03,SEA,LA,LA,28.0,GO
2024_09_NE_TEN,TEN,21.0,4679.0,4.0,1.0,6.0,154.0,0.0,1.0,0.0,25.0,0.061741233,0.98328525,2024,9,2024-11-03,TEN,NE,NE,21.0,FG
2024_12_MIN_CHI,CHI,24.0,4434.0,4.0,16.0,76.0,467.0,0.0,0.0,1.0,54.0,0.46842492,0.25572687,2024,12,2024-11-24,CHI,MIN,MIN,24.0,PUNT
2024_13_TB_CAR,TB,26.0,4859.0,4.0,7.0,37.0,396.0,0.0,1.0,0.0,55.0,-2.7842731,0.6176691,2024,13,2024-12-01,CAR,TB,CAR,26.0,FG
2024_16_ARI_CAR,CAR,21.0,4409.0,4.0,7.0,67.0,473.0,0.0,0.0,1.0,57.0,0.63743263,0.31134102,2024,16,2024-12-22,CAR,ARI,ARI,21.0,PUNT
2024_17_DEN_CIN,CIN,17.0,4340.0,4.0,14.0,57.0,411.0,0.0,0.0,1.0,47.0,0.4456239,0.22922069,2024,17,2024-12-28,CIN,DEN,DEN,17.0,PUNT
2024_18_JAX_IND,IND,24.0,4615.0,4.0,5.0,20.0,327.0,0.0,1.0,0.0,38.0,0.46502876,0.9149249,2024,18,2025-01-05,IND,JAX,JAX,24.0,FG
