game_id,season,week,game_date,home_team,away_team,posteam,defteam,qtr,game_seconds_remaining,yardline_100,ydstogo,score_differential,roof,temp,wind,shotgun,no_huddle,epa,wp,decision,kick_distance,punt_attempt,field_goal_attempt,drive,fixed_drive,order_sequence,play_id,ydstogo_bin,yardline_bin,go_conv_rate,go_attempts,go_stop_rate,go_faced,epa_per_drive_roll6,success_rate_roll6,points_per_drive_roll6
2023_02_GB_ATL,2023,2,2023-09-17,ATL,GB,GB,ATL,1.0,3542.0,33.0,12.0,0.0,open,,,0.0,0.0,-1.4866822,0.43091276,GO,43.65204991087344,0.0,0.0,1.0,1.0,181.0,181.0,11+,21-40,0.0,2.0,1.0,2.0,,,
2023_02_GB_ATL,2023,2,2023-09-17,ATL,GB,GB,ATL,1.0,3542.0,38.0,17.0,0.0,open,,,0.0,0.0,-0.7674433,0.42768613,PUNT,38.0,1.0,0.0,1.0,1.0,211.0,211.0,11+,21-40,0.0,2.0,1.0,2.0,,,
2023_16_BAL_SF,2023,16,2023-12-25,SF,BAL,SF,BAL,3.0,1709.0,75.0,10.0,-4.0,outdoors,56.0,8.0,0.0,0.0,-1.5445753,0.3139934,PUNT,57.0,1.0,0.0,12.0,12.0,2442.0,2442.0,6-10,61-80,1.0,1.0,0.5,2.0,0.48430517,0.4286318668165987,2.4316738
2023_16_BAL_SF,2023,16,2023-12-25,SF,BAL,SF,BAL,4.0,230.0,63.0,9.0,-14.0,outdoors,56.0,8.0,1.0,0.0,2.6243591,0.01411279,GO,43.65204991087344,0.0,0.0,22.0,22.0,4108.0,4108.0,6-10,61-80,1.0,1.0,0.5,2.0,0.48430517,0.4286318668165987,2.4316738
2022_16_NO_CLE,2022,16,2022-12-24,CLE,NO,CLE,NO,2.0,2146.0,33.0,5.0,7.0,outdoors,6.0,27.0,1.0,0.0,3.3827076,0.75748616,GO,43.65204991087344,0.0,0.0,9.0,9.0,1349.0,1349.0,3-5,21-40,0.4,6.0,0.6666666666666667,3.0,-0.61939925,0.3473094035594035,1.3507576
2022_17_LA_LAC,2022,17,2023-01-01,LAC,LA,LA,LAC,4.0,316.0,97.0,19.0,-21.0,dome,,,0.0,0.0,0.027945876,0.00079455436,PUNT,57.0,1.0,0.0,17.0,17.0,3137.0,3137.0,11+,81-100,0.0,1.0,1.0,1.0,-0.28061387,0.3644976551575344,1.8959013
2023_01_TB_MIN,2023,1,2023-09-10,MIN,TB,TB,MIN,1.0,2907.0,18.0,10.0,0.0,dome,,,0.0,0.0,0.35396942,0.55982584,FG,36.0,0.0,1.0,6.0,6.0,886.0,886.0,6-10,0-20,,,,,,,
2023_01_TB_MIN,2023,1,2023-09-10,MIN,TB,TB,MIN,3.0,1307.0,13.0,2.0,0.0,dome,,,0.0,0.0,2.4420357,0.5453525,GO,43.65204991087344,0.0,0.0,17.0,17.0,2774.0,2774.0,2,0-20,0.5,2.0,1.0,1.0,,,
2023_01_TB_MIN,2023,1,2023-09-10,MIN,TB,TB,MIN,4.0,681.0,60.0,5.0,0.0,dome,,,0.0,0.0,-0.66317534,0.39680707,PUNT,60.0,1.0,0.0,19.0,19.0,3566.0,3566.0,3-5,41-60,0.0,2.0,1.0,2.0,,,
2023_01_TB_MIN,2023,1,2023-09-10,MIN,TB,TB,MIN,4.0,498.0,68.0,1.0,0.0,dome,,,0.0,0.0,2.1163177,0.41568458,GO,43.65204991087344,0.0,0.0,21.0,21.0,3805.0,3805.0,1,61-80,0.5,2.0,0.75,4.0,,,
2023_02_KC_JAX,2023,2,2023-09-17,JAX,KC,JAX,KC,4.0,263.0,16.0,12.0,-8.0,outdoors,,,1.0,0.0,-2.8848858,0.121685065,GO,43.65204991087344,0.0,0.0,20.0,20.0,4180.0,4180.0,11+,0-20,0.0,2.0,1.0,2.0,,,
2023_08_ATL_TEN,2023,8,2023-10-29,TEN,ATL,ATL,TEN,1.0,3291.0,10.0,8.0,0.0,outdoors,77.0,7.0,0.0,0.0,0.11397285,0.5570246,FG,29.0,0.0,1.0,2.0,2.0,324.0,324.0,6-10,0-20,,,,,-0.037978332,0.3842607490214558,1.7674242
2023_08_NO_IND,2023,8,2023-10-29,IND,NO,IND,NO,1.0,3511.0,69.0,4.0,0.0,closed,,,0.0,0.0,-0.3565679,0.4741638,PUNT,52.0,1.0,0.0,1.0,1.0,125.0,125.0,3-5,61-80,,,,,-0.66090256,0.3387283693586214,1.4195527
2023_08_NO_IND,2023,8,2023-10-29,IND,NO,IND,NO,3.0,1474.0,80.0,4.0,-1.0,closed,,,0.0,0.0,-0.4411571,0.44262442,PUNT,53.0,1.0,0.0,14.0,14.0,2568.0,2568.0,3-5,61-80,,,,,-0.66090256,0.3387283693586214,1.4195527
2023_11_LAC_GB,2023,11,2023-11-19,GB,LAC,LAC,GB,1.0,3281.0,43.0,4.0,0.0,outdoors,45.0,5.0,1.0,0.0,-2.6660023,0.46767896,GO,43.65204991087344,0.0,0.0,2.0,2.0,372.0,372.0,3-5,41-60,0.6666666666666666,3.0,1.0,4.0,-0.540072,0.3541330889682048,1.5218855
2023_11_LAC_GB,2023,11,2023-11-19,GB,LAC,LAC,GB,2.0,2161.0,53.0,5.0,3.0,outdoors,45.0,5.0,0.0,0.0,-0.3911179,0.59289736,PUNT,41.0,1.0,0.0,8.0,8.0,1567.0,1567.0,3-5,41-60,0.6666666666666666,3.0,1.0,4.0,-0.540072,0.3541330889682048,1.5218855
2023_12_PIT_CIN,2023,12,2023-11-26,CIN,PIT,PIT,CIN,2.0,2564.0,23.0,10.0,0.0,outdoors,48.0,9.0,0.0,0.0,0.71083343,0.4817752,FG,41.0,0.0,1.0,5.0,5.0,950.0,950.0,6-10,21-40,,,,,0.41440725,0.4105724820738316,2.20212
2023_16_BAL_SF,2023,16,2023-12-25,SF,BAL,SF,BAL,1.0,3063.0,27.0,9.0,2.0,outdoors,56.0,8.0,0.0,0.0,1.1150972,0.6867304,FG,45.0,0.0,1.0,4.0,4.0,708.0,708.0,6-10,21-40,0.0,1.0,1.0,1.0,0.48430517,0.4286318668165987,2.4316738
2023_16_CIN_PIT,2023,16,2023-12-23,PIT,CIN,PIT,CIN,2.0,1804.0,31.0,6.0,21.0,outdoors,49.0,5.0,0.0,0.0,0.9585516,0.96150136,FG,50.0,0.0,1.0,10.0,10.0,2013.0,2013.0,6-10,21-40,,,,,0.38128874,0.368413336426157,2.1534994
2023_01_TB_MIN,2023,1,2023-09-10,MIN,TB,TB,MIN,1.0,3525.0,65.0,8.0,0.0,dome,,,0.0,0.0,0.32767907,0.46003512,PUNT,53.0,1.0,0.0,2.0,2.0,260.0,260.0,6-10,61-80,,,,1.0,,,
2023_01_TB_MIN,2023,1,2023-09-10,MIN,TB,TB,MIN,1.0,3083.0,61.0,6.0,0.0,dome,,,0.0,0.0,-0.87466514,0.46532595,PUNT,42.0,1.0,0.0,4.0,4.0,718.0,718.0,6-10,61-80,,,,1.0,,,
2023_05_TEN_IND,2023,5,2023-10-08,IND,TEN,IND,TEN,4.0,806.0,17.0,7.0,1.0,open,,,0.0,0.0,0.37760827,0.6697509,FG,35.0,0.0,1.0,12.0,12.0,2986.0,2986.0,6-10,0-20,0.0,2.0,,,,,
2023_07_BUF_NE,2023,7,2023-10-22,NE,BUF,NE,BUF,1.0,3305.0,12.0,2.0,0.0,outdoors,55.0,13.0,0.0,0.0,0.17887956,0.6134957,FG,30.0,0.0,1.0,1.0,1.0,241.0,241.0,2,0-20,1.0,1.0,0.5,2.0,0.87738127,0.4465694372751593,2.6195285
2023_11_CIN_BAL,2023,11,2023-11-16,BAL,CIN,CIN,BAL,4.0,853.0,73.0,8.0,-14.0,outdoors,56.0,1.0,0.0,0.0,-0.17371322,0.034820493,PUNT,38.0,1.0,0.0,17.0,17.0,3469.0,3469.0,6-10,61-80,,,0.5,2.0,0.59618205,0.4445405015859561,2.3641026
2023_11_CIN_BAL,2023,11,2023-11-16,BAL,CIN,CIN,BAL,4.0,515.0,77.0,7.0,-14.0,outdoors,56.0,1.0,0.0,0.0,-0.1068685,0.019681767,PUNT,50.0,1.0,0.0,19.0,19.0,3747.0,3747.0,6-10,61-80,,,0.5,2.0,0.59618205,0.4445405015859561,2.3641026
2023_12_KC_LV,2023,12,2023-11-26,LV,KC,LV,KC,4.0,394.0,81.0,1.0,-11.0,dome,,,0.0,0.0,-3.6915498,0.040459096,GO,43.65204991087344,0.0,0.0,17.0,17.0,3172.0,3172.0,1,81-100,0.0,1.0,1.0,1.0,0.071635164,0.3985339834910913,1.9008838
2023_13_CIN_JAX,2023,13,2023-12-04,JAX,CIN,JAX,CIN,3.0,1708.0,59.0,1.0,0.0,outdoors,61.0,4.0,0.0,0.0,-0.7357347,0.52124107,PUNT,43.0,1.0,0.0,10.0,10.0,2015.0,2015.0,1,41-60,0.3333333333333333,6.0,1.0,2.0,0.30509964,0.3900274322069193,2.0098124
